accession_count	accession	experiment_type	organism	_assay_groups_developmental_stage	_assay_groups_organism_part	_assay_groups_age	_assay_groups_genotype	_assay_groups_disease	_assay_groups_sex
1238	E-GEOD-38138	microarray_1colour_mrna_differential	Mus musculus		liver				male
1239	E-GEOD-38141	microarray_1colour_mrna_differential	Mus musculus		liver				male
1240	E-GEOD-38218	microarray_1colour_mrna_differential	Mus musculus		brain cortex	9 week			female, male
1241	E-GEOD-38219	microarray_1colour_mrna_differential	Mus musculus		brain cortex	15 week			female, male
1242	E-GEOD-3822	microarray_1colour_mrna_differential	Mus musculus	embryonic day 11.5	metanephric mesenchyme				
1243	E-GEOD-38257	microarray_1colour_mrna_differential	Mus musculus		skin			carcinoma	
1244	E-GEOD-38281	microarray_1colour_mrna_differential	Arabidopsis thaliana		leaf	4 week			
1245	E-GEOD-38283	microarray_1colour_mrna_differential	Mus musculus		brain			glioma	
1246	E-GEOD-38312	microarray_1colour_mrna_differential	Homo sapiens						female, male
1247	E-GEOD-38332	microarray_1colour_mrna_differential	Homo sapiens					lung adenocarcinoma	
1248	E-GEOD-38333	microarray_1colour_mrna_differential	Mus musculus						
1249	E-GEOD-38341	microarray_1colour_mrna_differential	Mus musculus					lung cancer	
1250	E-GEOD-38344	rnaseq_mrna_baseline	Triticum aestivum	14 day post anthesis; 6 day post anthesis; 9 day post anthesis	aleurone layer; central endosperm				
1251	E-GEOD-38351	microarray_1colour_mrna_differential	Homo sapiens		blood			rheumatoid arthritis; systemic lupus erythematosus	
1252	E-GEOD-38400	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	whole organism	2 to 3 week			
1253	E-GEOD-38408	microarray_1colour_mrna_differential	Homo sapiens					lung carcinoma	
1254	E-GEOD-38409	microarray_1colour_mrna_differential	Mus musculus		left lung	23 week			female; male
1255	E-GEOD-38430	microarray_1colour_mrna_differential	Drosophila melanogaster	third instar larvae	eye discs				
1256	E-GEOD-38487	rnaseq_mrna_differential	Zea mays		tassel inflorescence	not applicable			
1257	E-GEOD-38512	microarray_1colour_mrna_differential	Bos taurus		placenta				
1258	E-GEOD-38612	rnaseq_mrna_baseline	Arabidopsis thaliana		flower; fruit; leaf; root	2 week; 5 week	wild type genotype		
1259	E-GEOD-38616	microarray_1colour_mrna_differential	Homo sapiens		mouth mucosa			lichen planus; oral lichen planus	
1260	E-GEOD-38648	microarray_1colour_mrna_differential	Mus musculus						male
1261	E-GEOD-3866	microarray_1colour_mrna_differential	Rattus norvegicus		left ventricle				male
1262	E-GEOD-38678	microarray_1colour_mrna_differential	Homo sapiens					cancer associated fibroblast; lung cancer	
1263	E-GEOD-38692	microarray_1colour_mrna_differential	Homo sapiens						
1264	E-GEOD-38879	rnaseq_mrna_differential	Arabidopsis thaliana	seedling	whole organism	7 day			
1265	E-GEOD-38941	microarray_1colour_mrna_differential	Homo sapiens	adult	liver			acute liver failure	
1266	E-GEOD-38959	microarray_1colour_mrna_differential	Homo sapiens		breast	80 year, 36 year, 44 year, 39 year, 37 year, 69 year, 55 year, 61 year, 50 year, 45 year, 42 year, 59 year, 63 year, 53 year, 28 year, 32 year, 60 year, 64 year, 52 year, 49 year, 41 year, 70 year, 46 year, 54 year		breast cancer	female
1267	E-GEOD-38965	microarray_1colour_mrna_differential	Arabidopsis thaliana		seedling culture				
1268	E-GEOD-38997	microarray_1colour_mrna_differential	Caenorhabditis elegans		whole organism				
1269	E-GEOD-39009	microarray_1colour_mrna_differential	Mus musculus		skeletal muscle	6 month			
1270	E-GEOD-39012	microarray_1colour_mrna_differential	Caenorhabditis elegans	L3					
1271	E-GEOD-39082	microarray_1colour_mrna_differential	Mus musculus		Bone marrow				
1272	E-GEOD-39091	microarray_1colour_mrna_differential	Homo sapiens					melanoma	
1273	E-GEOD-39121	rnaseq_mrna_differential	Homo sapiens		lung			lung adenocarcinoma	
1274	E-GEOD-39157	microarray_1colour_mrna_differential	Homo sapiens						
1275	E-GEOD-39194	microarray_1colour_mrna_differential	Mus musculus		myotube				
1276	E-GEOD-39196	microarray_1colour_mrna_differential	Mus musculus		Tibialis anterior	8 week			male
1277	E-GEOD-39214	rnaseq_mrna_differential	Arabidopsis thaliana	seedling		2 day			
1278	E-GEOD-39223	microarray_1colour_mrna_differential	Homo sapiens		brain			glioblastoma	
1279	E-GEOD-39236	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	whole organism	7 day			
1280	E-GEOD-39268	microarray_1colour_mrna_differential	Arabidopsis thaliana		root; shoot				
1281	E-GEOD-39298	microarray_1colour_mrna_differential	Oryza sativa	seedling		3 week			
1282	E-GEOD-39311	microarray_1colour_mrna_differential	Saccharomyces cerevisiae						
1283	E-GEOD-39338	microarray_1colour_mrna_differential	Homo sapiens					leukemia	
1284	E-GEOD-39351	microarray_1colour_mrna_differential	Mus musculus		intestine				
1285	E-GEOD-39413	microarray_1colour_mrna_differential	Mus musculus						
1286	E-GEOD-39432	microarray_1colour_mrna_differential	Oryza sativa Japonica Group	10 days after flowering; 14 days after flowering; 21 days after flowering; 28 days after flowering; 42 days after flowering	endosperm; plant embryo				
1287	E-GEOD-39463	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	leaf	3 to 4 week			
1288	E-GEOD-39497	microarray_1colour_mrna_differential	Homo sapiens						
1289	E-GEOD-39509	rnaseq_mrna_differential	Mus musculus		prostate	3 month; 5 month; 8 month			
1290	E-GEOD-39514	microarray_1colour_mrna_differential	Mus musculus		main olfactory epithelium	5 week			
1291	E-GEOD-39595	microarray_1colour_mrna_differential	Mus musculus		spleen and lymph nodes				
1292	E-GEOD-39685	microarray_1colour_mrna_differential	Homo sapiens					myeloma	
1293	E-GEOD-39687	microarray_1colour_mrna_differential	Oryza sativa		root; shoot				
1294	E-GEOD-39690	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling		10 day			
1295	E-GEOD-39707	microarray_1colour_mrna_differential	Danio rerio	embryo	dechorionated embryo	36 hour			
1296	E-GEOD-39708	microarray_1colour_mrna_differential	Arabidopsis thaliana		rosette	3 week			
1297	E-GEOD-39733	microarray_1colour_mrna_differential	Homo sapiens					lung carcinoma	
1298	E-GEOD-39752	microarray_1colour_mrna_differential	Mus musculus		liver	5 to 6 month			male
1299	E-GEOD-39803	microarray_1colour_mrna_differential	Mus musculus						
1300	E-GEOD-39812	rnaseq_mrna_differential	Mus musculus						
1301	E-GEOD-39843	microarray_1colour_mrna_differential	Homo sapiens					cystic fibrosis; normal	
1302	E-GEOD-39870	microarray_1colour_mrna_differential	Homo sapiens					breast cancer	
1303	E-GEOD-39877	microarray_1colour_mrna_differential	Drosophila melanogaster		skeletal muscle				male
1304	E-GEOD-3990	microarray_1colour_mrna_differential	Drosophila melanogaster	3rd instar larva					male
1305	E-GEOD-39946	microarray_1colour_mrna_differential	Mus musculus	Embryonic day 11.5	lung				
1306	E-GEOD-39989	microarray_1colour_mrna_differential	Mus musculus		prostate				
1307	E-GEOD-40061	microarray_1colour_mrna_differential	Arabidopsis thaliana		leaf; root				
1308	E-GEOD-40076	microarray_1colour_mrna_differential	Arabidopsis thaliana		root; shoot	10 day			
1309	E-GEOD-40127	microarray_1colour_mrna_differential	Caenorhabditis elegans						
1310	E-GEOD-40131	rnaseq_mrna_differential	Homo sapiens		blood			normal	
1311	E-GEOD-40241	microarray_1colour_mrna_differential	Homo sapiens					ovarian cancer	
1312	E-GEOD-40242	microarray_1colour_mrna_differential	Oryza sativa Japonica Group		leaf lamina	2 month			
1313	E-GEOD-40245	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	whole organism	3 day			
1314	E-GEOD-40261	microarray_1colour_mrna_differential	Mus musculus		liver				female
1315	E-GEOD-40266	microarray_1colour_mrna_differential	Homo sapiens		ovary			normal	
1316	E-GEOD-40282	microarray_1colour_mrna_differential	Mus musculus	adult	bone marrow				male
1317	E-GEOD-40284	microarray_1colour_mrna_differential	Mus musculus	adult	bone marrow				male
1318	E-GEOD-40354	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	whole organism				
1319	E-GEOD-40370	microarray_1colour_mrna_differential	Mus musculus		colon	6 week			male
1320	E-GEOD-40377	microarray_1colour_mrna_differential	Mus musculus		hippocampus; striatum				
1321	E-GEOD-40422	microarray_1colour_mrna_differential	Homo sapiens					melanoma	
1322	E-GEOD-40512	microarray_1colour_mrna_differential	Homo sapiens					acute lymphoblastic leukemia	
1323	E-GEOD-40513	microarray_1colour_mrna_differential	Mus musculus		mammary gland				
1324	E-GEOD-40517	microarray_1colour_mrna_differential	Homo sapiens					lung carcinoma	
1325	E-GEOD-40518	microarray_1colour_mrna_differential	Arabidopsis thaliana		trichome from 5th and 6th rosette leaf	3 week			
1326	E-GEOD-40549	microarray_1colour_mrna_differential	Oryza sativa		cortex of root; epidermis plus exodermis of root; root cortex; vascular bundle from new leaf at the lowest node; vascular bundle from old leaf at the lowest node; vascular bundle of root				
1327	E-GEOD-40564	microarray_1colour_mrna_differential	Homo sapiens					small cell lung carcinoma	
1328	E-GEOD-40584	microarray_1colour_mrna_differential	Homo sapiens					lung carcinoma	
1329	E-GEOD-40595	microarray_1colour_mrna_differential	Homo sapiens		ovary			ovarian cancer	
1330	E-GEOD-40611	microarray_1colour_mrna_differential	Homo sapiens	adult	parotid gland			non primary Sjogren syndrome sicca; primary Sjogren syndrome	
1331	E-GEOD-40613	microarray_1colour_mrna_differential	Homo sapiens						
1332	E-GEOD-4063	microarray_1colour_mrna_differential	Mus musculus		gastrocnemius muscle				male
1333	E-GEOD-40643	microarray_1colour_mrna_differential	Homo sapiens					ovarian cancer	
1334	E-GEOD-4065	microarray_1colour_mrna_differential	Mus musculus		gastrocnemius muscle				male
1335	E-GEOD-4066	microarray_1colour_mrna_differential	Mus musculus	adult	skin				female
1336	E-GEOD-40695	microarray_1colour_mrna_differential	Homo sapiens						
1337	E-GEOD-40713	microarray_1colour_mrna_differential	Rattus norvegicus	postnatal day 33	mammary gland				female; male
1338	E-GEOD-40750	microarray_1colour_mrna_differential	Homo sapiens						
1339	E-GEOD-40776	microarray_1colour_mrna_differential	Homo sapiens					glioblastoma	
1340	E-GEOD-40824	microarray_1colour_mrna_differential	Mus musculus		lung	10 week			female
1341	E-GEOD-40827	microarray_1colour_mrna_differential	Mus musculus		lung	10 week			female
1342	E-GEOD-40840	microarray_1colour_mrna_differential	Mus musculus		lung	10 week			female
1343	E-GEOD-40844	microarray_1colour_mrna_differential	Homo sapiens					lung adenocarcinoma	
1344	E-GEOD-40885	microarray_1colour_mrna_differential	Homo sapiens		lung				male
1345	E-GEOD-40963	microarray_1colour_mrna_differential	Drosophila melanogaster	embryonic stages 11 to16					
1346	E-GEOD-40968	microarray_1colour_mrna_differential	Homo sapiens		breast			breast cancer	
1347	E-GEOD-40986	microarray_1colour_mrna_differential	Homo sapiens						
1348	E-GEOD-41042	microarray_1colour_mrna_differential	Mus musculus			4 week			
1349	E-GEOD-41090	rnaseq_mrna_differential	Mus musculus						
1350	E-GEOD-41095	microarray_1colour_mrna_differential	Mus musculus	embryonic day 10.5				diabetic pregnancy	
1351	E-GEOD-41097	microarray_1colour_mrna_differential	Oryza sativa Japonica Group	anthesis	anther				
1352	E-GEOD-4113	microarray_1colour_mrna_differential	Arabidopsis thaliana		leaf				
1353	E-GEOD-41136	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	leaf	14 day			
1354	E-GEOD-41168	microarray_1colour_mrna_differential	Homo sapiens	adult	adipose tissue; skeletal muscle tissue			normal	female
1355	E-GEOD-41293	rnaseq_mrna_differential	Mus musculus					clear cell sarcoma; osteosarcoma; synovial sarcoma	
1356	E-GEOD-41322	microarray_1colour_mrna_differential	Homo sapiens					aggressive androgen negative prostate cancer	
1357	E-GEOD-41326	microarray_1colour_mrna_differential	Homo sapiens						
1358	E-GEOD-4135	microarray_1colour_mrna_differential	Saccharomyces cerevisiae						
1359	E-GEOD-41364	microarray_1colour_mrna_differential	Homo sapiens					colon cancer	
1360	E-GEOD-41386	microarray_1colour_mrna_differential	Homo sapiens		uterus	21 to 50 year		normal; uterine fibroid	
1361	E-GEOD-41405	microarray_1colour_mrna_differential	Homo sapiens					breast cancer	
1362	E-GEOD-41418	microarray_1colour_mrna_differential	Mus musculus		pancreas	8 week		chronic pancreatitis	female
1363	E-GEOD-41420	microarray_1colour_mrna_differential	Rattus norvegicus		liver	6 to 7 week			male
1364	E-GEOD-41452	microarray_1colour_mrna_differential	Rattus norvegicus		brain	3 week; 6 week			
1365	E-GEOD-41459	microarray_1colour_mrna_differential	Homo sapiens						
1366	E-GEOD-41487	rnaseq_mrna_differential	Drosophila melanogaster		fat body				
1367	E-GEOD-41586	rnaseq_mrna_differential	Homo sapiens					colon cancer	
1368	E-GEOD-41647	microarray_1colour_mrna_differential	Oryza sativa Indica Group	seedling	whole organism	7 day			
1369	E-GEOD-41662	microarray_1colour_mrna_differential	Homo sapiens		skin			psoriasis	
1370	E-GEOD-41663	microarray_1colour_mrna_differential	Homo sapiens		skin			psoriasis	
1371	E-GEOD-41678	microarray_1colour_mrna_differential	Homo sapiens		breast; foreskin; lung			breast cancer; normal	
1372	E-GEOD-41745	rnaseq_mrna_differential	Homo sapiens		skin			psoriasis	
1373	E-GEOD-41779	microarray_1colour_mrna_differential	Arabidopsis thaliana		leaf 13; leaf 8				
1374	E-GEOD-41789	microarray_1colour_mrna_differential	Mus musculus		lung	10 week			female
1375	E-GEOD-41797	rnaseq_mrna_baseline	Oryza sativa	2 formation of axillary shoot stage; inflorescence emergence stage	root				
1376	E-GEOD-41804	microarray_1colour_mrna_differential	Homo sapiens		liver			hepatocellular carcinoma	
1377	E-GEOD-4182	microarray_1colour_mrna_differential	Homo sapiens					spina bifida	
1378	E-GEOD-41827	microarray_1colour_mrna_differential	Homo sapiens						
1379	E-GEOD-4183	microarray_1colour_mrna_differential	Homo sapiens		colon			colon adenoma; colorectal cancer; inflammatory bowel disease	
1380	E-GEOD-41831	microarray_1colour_mrna_differential	Homo sapiens		blood			rheumatoid factor-negative juvenile idiopathic arthritis	
1381	E-GEOD-41884	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	aerial part	3 week			
1382	E-GEOD-41895	microarray_1colour_mrna_differential	Mus musculus		testes	Embryonic day 15.5			
1383	E-GEOD-41896	microarray_1colour_mrna_differential	Mus musculus		ovary	embryonic day 15.5			
1384	E-GEOD-41972	microarray_1colour_mrna_differential	Homo sapiens		breast			breast cancer	
1385	E-GEOD-41997	microarray_1colour_mrna_differential	Mus musculus			10 to 12 days			female
1386	E-GEOD-42024	microarray_1colour_mrna_differential	Homo sapiens					breast cancer	
1387	E-GEOD-42028	microarray_1colour_mrna_differential	Oryza sativa	3rd and 4th leaf from flag leaf	leaf				
1388	E-GEOD-42061	microarray_1colour_mrna_differential	Mus musculus		peritoneal fluid	20 week			male
1389	E-GEOD-42100	rnaseq_mrna_differential	Mus musculus			14 day; 21 day; 22 day; 23 day; 27 day			
1390	E-GEOD-42174	microarray_1colour_mrna_differential	Homo sapiens					diffuse large B-cell lymphoma	
1391	E-GEOD-42212	rnaseq_mrna_differential	Homo sapiens						
1392	E-GEOD-42230	microarray_1colour_mrna_differential	Mus musculus	postnatal day 15	testes				
1393	E-GEOD-42257	microarray_1colour_mrna_differential	Mus musculus		bone marrow				
1394	E-GEOD-42303	microarray_1colour_mrna_differential	Mus musculus		ipsilateral kidney				
1395	E-GEOD-4235	microarray_1colour_mrna_differential	Drosophila melanogaster		ovary				female
1396	E-GEOD-42403	microarray_1colour_mrna_differential	Arabidopsis thaliana		inflorescences				
1397	E-GEOD-42407	microarray_1colour_mrna_differential	Homo sapiens					lung adenocarcinoma	
1398	E-GEOD-42415	microarray_1colour_mrna_differential	Arabidopsis thaliana		axillary bud				
1399	E-GEOD-42535	microarray_1colour_mrna_differential	Bos taurus						
1400	E-GEOD-42550	rnaseq_mrna_baseline	Glycine max	1 day after imbibition; 2 days after planting; 2 to 3 days after planting; 3 to 4 days after planting; 4 to 5 days after planting; 5 to 6 days after planting; 6 to 7 days after planting	seedling cotyledon				
1401	E-GEOD-42619	microarray_1colour_mrna_differential	Homo sapiens					breast cancer	
1402	E-GEOD-42735	rnaseq_mrna_differential	Homo sapiens					colon cancer; melanoma	
1403	E-GEOD-42768	microarray_1colour_mrna_differential	Mus musculus		colon	6 week		acute DSS-induced colitis; chronic DSS-induced colitis	female
1404	E-GEOD-42780	microarray_1colour_mrna_differential	Rattus norvegicus		tongue			dysplasia; squamous cell carcinoma	male
1405	E-GEOD-42781	microarray_1colour_mrna_differential	Homo sapiens					breast cancer	
1406	E-GEOD-42871	rnaseq_mrna_baseline	Glycine max	100 to 200mg fresh weight; 12 to 14 days after flowering; 22 to 24 days after flowering; 4 days after flowering; 400 to 500mg fresh weight; 5 to 6mg fresh weight; dry mature seed	cotyledon; seed; seed coat				
1407	E-GEOD-42872	microarray_1colour_mrna_differential	Homo sapiens					melanoma	
1408	E-GEOD-42874	microarray_1colour_mrna_differential	Mus musculus						
1409	E-GEOD-42891	rnaseq_mrna_baseline	Brassica oleracea		flower; flower bud; fruit; leaf; plant callus; root				
1410	E-GEOD-42895	microarray_1colour_mrna_differential	Mus musculus		liver; striatum	8 week			male
1411	E-GEOD-42912	rnaseq_mrna_differential	Mus musculus		substantia nigra; ventral tegmental area				
1412	E-GEOD-42937	microarray_1colour_mrna_differential	Homo sapiens					gastric cancer	
